Number;Unit;Year;Mark
203;ASTRO1;66;A
203;TRANS4;2;A
203;POTIO1;66;A
203;CHARM1;66;A
203;TRANS2;66;A
203;POTIO4;2;A
203;POTIO5;2;A
203;CHARM3;1;A
203;DATDA5;2;A
203;ASTRO5;2;E
203;TRANS3;6;E
203;DATDA3;2;A
203;DATDA2;1;A
203;POTIO2;1;A
203;HERBO4;1;A
203;CHARM5;2;A
203;HERBO1;1;A
203;HERBO2;66;A
203;HERBO3;66;A
203;CHARM4;1;A
203;TRANS5;2;A
203;ASTRO3;2;A
203;TRANS1;1;A
203;ASTRO2;66;A
203;HERBO5;3;A
203;CHARM2;66;A
203;DATDA1;66;A
203;ASTRO4;66;A
203;POTIO3;66;A
203;DATDA4;2;E
208;ASTRO1;66;A
208;TRANS4;4;O
208;POTIO1;66;A
208;CHARM1;66;A
208;TRANS2;66;A
208;POTIO4;6;E
208;POTIO5;4;A
208;CHARM3;5;A
208;DATDA5;4;A
208;ASTRO5;4;A
208;TRANS3;4;A
208;DATDA3;3;A
208;DATDA2;1;A
208;POTIO2;6;A
208;HERBO4;66;A
208;CHARM5;4;A
208;HERBO1;1;A
208;HERBO2;66;A
208;HERBO3;1;A
208;CHARM4;2;A
208;TRANS5;4;E
208;ASTRO3;2;A
208;TRANS1;66;A
208;ASTRO2;66;A
208;HERBO5;5;O
208;CHARM2;3;E
208;DATDA1;66;A
208;ASTRO4;1;E
208;POTIO3;2;A
208;DATDA4;4;A
210;ASTRO1;4;E
210;TRANS4;6;O
210;POTIO1;66;A
210;CHARM1;4;E
210;TRANS2;4;E
210;POTIO4;6;O
210;POTIO5;5;A
210;CHARM3;5;E
210;DATDA5;5;E
210;ASTRO5;5;E
210;TRANS3;5;E
210;DATDA3;5;E
210;DATDA2;4;E
210;POTIO2;66;A
210;HERBO4;5;E
210;CHARM5;5;E
210;HERBO1;4;O
210;HERBO2;4;O
210;HERBO3;5;E
210;CHARM4;5;O
210;TRANS5;6;O
210;ASTRO3;5;E
210;TRANS1;4;E
210;ASTRO2;66;A
210;HERBO5;6;O
210;CHARM2;4;E
210;DATDA1;66;A
210;ASTRO4;4;E
210;POTIO3;5;E
210;DATDA4;6;E
214;ASTRO1;66;A
214;TRANS4;5;A
214;POTIO1;3;A
214;CHARM1;66;E
214;TRANS2;66;A
214;POTIO4;5;E
214;POTIO5;5;A
214;CHARM3;4;A
214;DATDA5;4;E
214;ASTRO5;4;A
214;TRANS3;6;A
214;DATDA3;4;A
214;DATDA2;5;E
214;POTIO2;6;A
214;HERBO4;5;E
214;CHARM5;5;A
214;HERBO1;3;A
214;HERBO2;3;A
214;HERBO3;4;E
214;CHARM4;6;A
214;TRANS5;6;E
214;ASTRO3;4;A
214;TRANS1;3;A
214;ASTRO2;66;A
214;HERBO5;6;E
214;CHARM2;66;E
214;DATDA1;66;A
214;ASTRO4;4;A
214;POTIO3;4;E
214;DATDA4;5;A
215;ASTRO1;66;A
215;TRANS4;4;A
215;POTIO1;1;A
215;CHARM1;66;A
215;TRANS2;66;A
215;POTIO4;5;A
215;POTIO5;4;A
215;CHARM3;2;A
215;DATDA5;4;A
215;ASTRO5;4;A
215;TRANS3;2;A
215;DATDA3;4;A
215;DATDA2;2;A
215;POTIO2;6;A
215;HERBO4;3;A
215;CHARM5;4;A
215;HERBO1;1;A
215;HERBO2;1;A
215;HERBO3;1;A
215;CHARM4;1;A
215;TRANS5;4;A
215;ASTRO3;3;A
215;TRANS1;3;E
215;ASTRO2;66;A
215;HERBO5;6;E
215;CHARM2;2;A
215;DATDA1;66;E
215;ASTRO4;3;A
215;POTIO3;4;A
215;DATDA4;4;A
219;ASTRO1;2;A
219;TRANS4;6;A
219;POTIO1;1;A
219;CHARM1;66;A
219;TRANS2;66;A
219;POTIO4;5;A
219;POTIO5;5;A
219;CHARM3;6;E
219;DATDA5;4;E
219;ASTRO5;4;A
219;TRANS3;4;A
219;DATDA3;66;A
219;DATDA2;4;A
219;POTIO2;6;A
219;HERBO4;66;A
219;CHARM5;4;A
219;HERBO1;1;A
219;HERBO2;1;A
219;HERBO3;1;A
219;CHARM4;4;A
219;TRANS5;5;O
219;ASTRO3;3;A
219;TRANS1;3;A
219;ASTRO2;66;A
219;HERBO5;6;O
219;CHARM2;66;A
219;DATDA1;66;E
219;ASTRO4;3;E
219;POTIO3;66;A
219;DATDA4;5;E
220;ASTRO1;66;A
220;TRANS4;6;A
220;POTIO1;66;A
220;CHARM1;66;A
220;TRANS2;66;A
220;POTIO4;6;E
220;POTIO5;5;A
220;CHARM3;66;A
220;DATDA5;5;E
220;ASTRO5;5;E
220;TRANS3;66;E
220;DATDA3;66;E
220;DATDA2;66;A
220;POTIO2;66;A
220;HERBO4;66;A
220;CHARM5;6;O
220;HERBO1;66;A
220;HERBO2;66;A
220;HERBO3;66;A
220;CHARM4;66;A
220;TRANS5;66;A
220;ASTRO3;66;E
220;TRANS1;66;A
220;ASTRO2;66;A
220;HERBO5;66;O
220;CHARM2;66;A
220;DATDA1;66;E
220;ASTRO4;66;A
220;POTIO3;66;A
220;DATDA4;66;A
222;ASTRO1;4;A
222;TRANS4;4;A
222;POTIO1;1;A
222;CHARM1;66;A
222;TRANS2;5;A
222;POTIO4;5;A
222;POTIO5;5;E
222;CHARM3;2;A
222;DATDA5;4;E
