Unit Name;Unit ID;Year;Semester;Type;WCTS
Atronomy I;ASTRO1;1;A;M;5
Charms I;CHARM1;1;A;M;7
Defense Against the Dark Arts I;DATDA1;1;A;M;7
Herbology I;HERBO1;1;A;M;7
Potions I;POTIO1;1;A;M;7
Transfiguration I;TRANS1;1;A;M;7
Atronomy II;ASTRO2;2;A;M;6
Charms II;CHARM2;2;A;M;6
Defense Against the Dark Arts II;DATDA2;2;A;M;6
Herbology II;HERBO2;2;A;M;6
Potions II;POTIO2;2;A;M;6
Transfiguration II;TRANS2;2;A;M;6
Ancient Runes I;ANCRU1;2;2;O;2
Arithmancy I;ARITH1;2;2;O;2
Care of Magical Creatures I;CMAGC1;2;2;O;2
Divination I;DIVIN1;2;2;O;2
Muggle Studies I;MUGGS1;2;2;O;2
Atronomy III;ASTRO3;3;A;M;5
Charms III;CHARM3;3;A;M;5
Defense Against the Dark Arts III;DATDA3;3;A;M;5
Herbology III;HERBO3;3;A;M;5
Potions III;POTIO3;3;A;M;5
Transfiguration III;TRANS3;3;A;M;5
Ancient Runes II;ANCRU2;3;A;O;5
Arithmancy II;ARITH2;3;A;O;5
Care of Magical Creatures II;CMAGC2;3;A;O;5
Divination II;DIVIN2;3;A;O;5
Muggle Studies II;MUGGS2;3;A;O;5
Atronomy IV;ASTRO4;4;A;M;5
Charms IV;CHARM4;4;A;M;5
Defense Against the Dark Arts IV;DATDA4;4;A;M;5
Herbology IV;HERBO4;4;A;M;5
Potions IV;POTIO4;4;A;M;5
Transfiguration IV;TRANS4;4;A;M;5
Ancient Runes III;ANCRU3;4;A;O;5
Arithmancy III;ARITH3;4;A;O;5
Care of Magical Creatures III;CMAGC3;4;A;O;5
Divination III;DIVIN3;4;A;O;5
Muggle Studies III;MUGGS3;4;A;O;5
Atronomy V;ASTRO5;5;A;M;5
Charms V;CHARM5;5;A;M;5
Defense Against the Dark Arts V;DATDA5;5;A;M;5
Herbology V;HERBO5;5;A;M;5
Potions V;POTIO5;5;A;M;5
Transfiguration V;TRANS5;5;A;M;5
Ancient Runes IV;ANCRU4;5;A;O;5
Arithmancy IV;ARITH4;5;A;O;5
Care of Magical Creatures IV;CMAGC4;5;A;O;5
Divination IV;DIVIN4;5;A;O;5
Muggle Studies IV;MUGGS4;5;A;O;5
