Unit Name;Unit ID;Year;Semester;ECTS
Algebra Linear e Geometria Analitica;ALGAN;1;1;5
Analise Matematica;AMATA;1;1;5
Algoritmia e Prohgramacao;APROG;1;1;6
Laboratorio / Projecto I;LAPR1;1;1;8
Principios da Computacao;PRCMP;1;1;6
Engenharia de Software;ESOFT;1;2;6
Laboratorio / Projecto II;LAPR2;1;2;8
Matematica Computacional;MATCP;1;2;5
Matematica Discreta;MDISC;1;2;5
Paradigmas da Programacao;PPROG;1;2;6
Arquitectura de Computadores;ARQCP;2;1;5
Bases de Dados;BDDAD;2;1;6
Estruturas de Informacao;ESINF;2;1;6
Fisica Aplicada;FSIAP;2;1;5
Laboratorio / Projecto III;LAPR3;2;1;8
Engenharia de Aplicacoes;EAPLI;2;2;6
Laboratorio / Projecto IV;LAPR4;2;2;6
Linguagens e Programacao;LPROG;2;2;6
Redes de Computadores;RCOMP;2;2;6
Sistemas de Computadores;SCOMP;2;2;6
Algoritmia Avancada;ALGAV;3;1;5
Arquitectura de Sistemas;ARQSI;3;1;5
Administracao de Sistemas;ASIST;3;1;5
Gestao;GESTA;3;1;4
Laboratorio / Projecto V;LAPR5;3;1;6
Sistemas Graficos e Interacao;SGRAI;3;1;5
Computacao Avancada;COMPA;3;2;4
Comportamento Organizacional;CORGA;3;2;4
Inteligencia Artificial;IARTI;3;2;4
Projecto / Estagio;PESTI;3;2;18
